不規則動詞（irregular verbs）は、第1の形に因を添えて第4の形を作る点は規則動詞と同じですが、第2と第3の形の作り方が異なる動詞です。よく使われる不規則動詞を以下に分類して示します。第4の形は第1の形に因を添えるだけなので、第1、第2、第3の形のみを挙げます。

1. 3つの形がそれぞれ異なる動詞の例：
- be, was/were, been
- bear, bore, born
- tear, tore, torn
- wear, wore, worn
- begin, began, begun
- drink, drank, drunk
- sink, sank, sunk
- ring, rang, rung
- spring, sprang, sprung
- sing, sang, sung
- swim, swam, swum
- bite, bit, bitten
- hide, hid, hidden
- blow, blew, blown
- grow, grew, grown
- know, knew, known
- throw, threw, thrown
- break, broke, broken
- choose, chose, chosen
- do, did, done
- draw, drew, drawn
- drive, drove, driven
- ride, rode, ridden
- rise, rose, risen
- write, wrote, written
- eat, ate, eaten
- fall, fell, fallen
- fly, flew, flown
- forget, forgot, forgotten
- bid, bade, bidden
- freeze, froze, frozen
- speak, spoke, spoken
- steal, stole, stolen
- weave, wove, woven
- give, gave, given
- go, went, gone
- lie, lay, lain
- see, saw, seen
- shake, shook, shaken
- take, took, taken
- slay, slew, slain

ご視聴ありがとうございました。
